Movie,Year,Keywords,Synopsis,Love · Romance · Family · Community · Belonging · Home,Happy · Playful · Bright · Feel-good · Carefree,Hopeful · Healing · Optimistic · Reassuring,Excited · Adventurous · Fun · Escapist,Reflective · Introspective · Contemplative About Life,Calm · Peaceful · Relaxed · Soft · Gentle,Curious · Engaged · Intrigued · Mentally Active,Intense · Emotional · Cathartic · Bittersweet,Lonely · Isolated · Unseen · Longing,Angry · Frustrated · Irritated · Stressed,Hopeless · Sad · Heartbroken · Melancholy,Scared · Anxious · Uneasy · Tense · Nervous
Elemental,2023,"identity, belonging, cultural differences, emotional connection, coexistence","In a city where fire-, water-, land-, and air-elemental beings coexist, Ember, a fiery young woman, and Wade, a relaxed water guy, form an unlikely friendship. They navigate differences, misunderstandings, and adventures while learning empathy, acceptance, and the power of connection.",0.7,0.6,0.7,0.5,0.6,0.4,0.6,0.8,0.5,0.2,0.3,0.3
Legally Blonde,2001,"self-belief, empowerment, stereotypes, perseverance, personal growth","Elle Woods, a fashionable sorority girl, follows her ex-boyfriend to Harvard Law, faces skepticism, and discovers her intelligence, charm, and independence, ultimately succeeding in law school while embracing her true self.",0.6,0.8,0.8,0.7,0.5,0.5,0.7,0.6,0.3,0.4,0.3,0.2
3 Idiots,2009,"friendship, education pressure, passion vs conformity, self-discovery, innovation","Three engineering students navigate college pressures; Rancho challenges the system, inspiring his friends to pursue their passions, leading to lessons about friendship, life, and following dreams.",0.6,0.7,0.8,0.6,0.7,0.5,0.7,0.8,0.3,0.5,0.4,0.3
Shyam Singha Roy,2021,"reincarnation, justice, love beyond time, social reform, destiny","Vasu, an aspiring director accused of plagiarism, begins having visions of a past life as Shyam Singha Roy, a social reformer in 1970s Bengal. In that past life he falls for a dancer and fights societal injustice, while in the present he struggles with art, love, and validation.",0.8,0.2,0.7,0.2,0.6,0.3,0.6,0.7,0.4,0.2,0.5,0.1
Love Story,2021,"unconditional love, sacrifice, loss, family bonds, emotional endurance","Mounika and Revanth meet in the city while chasing dreams, and fall in love despite coming from different castes, facing family and societal pressures that test their bond.",0.9,0.3,0.6,0.3,0.7,0.3,0.7,0.6,0.5,0.4,0.4,0.1
12th Fail,2023,"resilience, perseverance, poverty, discipline, quiet determination","Based on a true story: Manoj Kumar Sharma fails his class 12 exam after refusing to cheat, then perseveres through hardship — study struggles, extreme poverty, family setbacks — to chase his dream of becoming an Indian Police Service (IPS) officer.",0.4,0.3,0.9,0.1,0.8,0.2,0.8,0.6,0.3,0.5,0.4,0.2
Homebound,2025,"displacement, identity, return, healing, search for belonging","Two childhood friends from a small Indian village dream of joining the police for respect and a better life; as pressure mounts and life throws curveballs, their friendship, dreams, and personal responsibilities are strained.",0.4,0.1,0.8,0.1,0.8,0.2,0.8,0.7,0.5,0.6,0.6,0.3
Hi Nanna,2023,"parenthood, memory, unconditional love, healing, emotional intimacy","A devoted father cares for his young daughter Mahi, who suffers from a life‑threatening illness; through flashbacks, we see how he met her mother, fell in love, and struggled with joy and heartbreak as they dealt with family and health challenges.",0.8,0.2,0.9,0.1,0.7,0.3,0.7,0.8,0.6,0.3,0.8,0.2
Aankhon Ki Gustaakhiyan,2025,"longing, unspoken love, emotional restraint, vulnerability, destiny","A visually impaired musician and a theatre artist meet during a train journey, gradually form an emotional connection, and navigate societal perceptions and personal transformation as their bond deepens.",0.7,0.4,0.6,0.2,0.6,0.4,0.7,0.6,0.5,0.2,0.5,0.1
Your Eyes Tell,2020,"healing love, sacrifice, redemption, emotional connection, hope","After a tragic accident leaves Akari blind and orphaned, she meets Rui, a former kick‑boxer with a troubled past. They fall in love; when Rui discovers his connection to her accident, he fights to earn money for her sight‑restoring surgery while reconciling his past.",0.8,0.2,0.8,0.1,0.7,0.3,0.7,0.8,0.6,0.2,0.7,0.1
Wicked (Musical),2003,"otherness, friendship, moral ambiguity, power, misunderstood identity","The story of Elphaba, the misunderstood green-skinned girl, and Glinda, her popular counterpart, exploring friendship, love, ambition, and the origin of the Wicked Witch of the West.",0.7,0.3,0.6,0.2,0.7,0.3,0.7,0.7,0.5,0.3,0.6,0.2
Spirited Away,2001,"coming-of-age, identity, courage, loss and growth, spiritual transition","Chihiro, a 10-year-old girl, enters a spirit world while moving to a new home. She navigates strange creatures and works at a bathhouse to save her parents and return home.",0.5,0.5,0.8,0.8,0.7,0.6,0.9,0.7,0.5,0.3,0.6,0.3
Howl’s Moving Castle,2004,"self-acceptance, love beyond appearances, war’s futility, transformation","Sophie is cursed by a witch and turned into an old woman. She meets Howl, a wizard, and journeys with him to break curses and face war, discovering love, courage, and identity.",0.8,0.4,0.8,0.7,0.7,0.5,0.8,0.7,0.5,0.3,0.6,0.2
Kiki’s Delivery Service,1989,"independence, burnout, self-worth, growing up, quiet resilience","Young witch Kiki moves to a new city, starts a delivery service, and learns independence, confidence, and friendship while navigating challenges of growing up.",0.5,0.7,0.7,0.8,0.6,0.6,0.8,0.6,0.4,0.2,0.4,0.2
Interstellar,2014,"time, love as transcendence, sacrifice, survival, human connection","Humanity faces extinction; Cooper leads a space mission through a wormhole to find a new habitable planet, confronting love, time, sacrifice, and survival.",0.7,0.2,0.8,0.8,0.8,0.3,0.8,0.9,0.6,0.4,0.7,0.6
Zootopia,2016,"prejudice, systemic bias, friendship, social justice, self-belief","Judy Hopps, a bunny cop, teams with fox Nick to solve a mysterious disappearance, learning about prejudice, friendship, and community in a city of anthropomorphic animals.",0.6,0.7,0.7,0.8,0.6,0.5,0.8,0.6,0.4,0.3,0.4,0.2
Zootopia 2,2024,"trust, societal tension, evolving identity, cooperation, accountability","Continues Judy and Nick’s adventures as they face new societal challenges, political intrigue, and personal growth in Zootopia.",0.6,0.7,0.7,0.8,0.6,0.5,0.8,0.6,0.4,0.3,0.4,0.2
Up,2009,"grief, letting go, adventure, chosen family, late-life growth","Elderly Carl sets off to fulfill a promise to his late wife, tying balloons to his house and going on an adventure with young scout Russell, finding friendship, healing, and purpose.",0.8,0.5,0.8,0.8,0.7,0.4,0.7,0.8,0.6,0.2,0.7,0.3
Your Name,2016,"fate, memory, time-crossed love, longing, cosmic connection","Two teenagers mysteriously swap bodies, developing a connection while trying to prevent a disaster in a rural town, blending romance, fate, and bittersweet longing.",0.8,0.4,0.8,0.7,0.8,0.4,0.8,0.8,0.6,0.3,0.7,0.3
5 Centimeters per Second,2007,"distance, impermanence, unfulfilled love, nostalgia, quiet heartbreak","Follows Takaki and Akari over years as they grow apart due to distance, life choices, and timing, exploring love, longing, and nostalgia.",0.8,0.2,0.7,0.1,0.8,0.3,0.7,0.8,0.7,0.3,0.7,0.2
Barbie,2023,"identity, patriarchy, self-definition, existential awakening, autonomy","Barbie leaves her idealized world to explore the real world, confronting identity, societal expectations, and personal growth with humor and warmth.",0.6,0.8,0.7,0.8,0.7,0.5,0.8,0.6,0.3,0.2,0.4,0.2
Oppenheimer,2023,"moral responsibility, guilt, ambition, power, unintended consequences","Chronicles J. Robert Oppenheimer’s role in the Manhattan Project, exploring scientific ambition, moral conflict, personal sacrifice, and the weight of creating the atomic bomb.",0.2,0,0.3,0.1,0.7,0.2,0.7,0.9,0.4,0.6,0.7,0.6
Ender’s Game,2013,"manipulation, innocence vs violence, leadership burden, empathy","Young Ender Wiggin is recruited to Battle School to train for an alien invasion; he struggles with morality, leadership, isolation, and sacrifice.",0.4,0.3,0.6,0.8,0.7,0.3,0.7,0.7,0.5,0.5,0.5,0.5
The Hunger Games: Part 1,2012,"survival, sacrifice, authoritarianism, spectacle, defiance","Katniss volunteers to take her sister’s place in a televised death match; she fights to survive, forming alliances and challenging oppressive societal structures.",0.4,0.2,0.6,0.8,0.7,0.3,0.7,0.8,0.5,0.6,0.6,0.7
Catching Fire,2013,"resistance, political awakening, solidarity, escalating control","Katniss survives the Games, becomes a symbol of rebellion, faces new threats and alliances, and navigates romance and political tension.",0.5,0.2,0.6,0.8,0.7,0.3,0.7,0.8,0.5,0.6,0.6,0.7
Mockingjay Part 1,2014,"propaganda, trauma, rebellion cost, identity as symbol","Katniss becomes the face of revolution; war, propaganda, and personal loss challenge her mental and emotional resilience.",0.5,0.1,0.5,0.6,0.8,0.3,0.6,0.9,0.6,0.7,0.7,0.7
Mockingjay Part 2,2015,"moral ambiguity, vengeance vs justice, loss, aftermath of war","The rebellion reaches its climax; Katniss confronts the Capitol, experiences betrayal, loss, and moral dilemmas, seeking justice and closure.",0.5,0.1,0.6,0.7,0.8,0.3,0.7,0.9,0.6,0.7,0.7,0.7
The Maze Runner: Part 1,2014,"survival, memory loss, group dynamics, mystery, trust",Teenagers wake up in a deadly maze with no memory; Thomas leads a group to escape while uncovering sinister forces controlling them.,0.3,0.2,0.6,0.8,0.7,0.2,0.7,0.8,0.5,0.6,0.6,0.8
The Maze Runner: Part 2 - The Scorch Trials,2015,"survival, trust, betrayal, resilience, dystopia","Survivors of the Maze must navigate a post-apocalyptic desert with new threats, betrayal, and tests of survival.",0.3,0.1,0.6,0.8,0.7,0.2,0.7,0.8,0.5,0.7,0.6,0.8
The Maze Runner: Part 3 - The Death Cure,2018,"sacrifice, freedom, morality, perseverance, loyalty","Thomas and friends attempt to end WCKD, facing moral dilemmas, sacrifices, and confronting loss and trauma to save humanity.",0.3,0.1,0.6,0.8,0.7,0.2,0.7,0.8,0.5,0.7,0.6,0.8
The Road to El Dorado,2000,"adventure, friendship, greed vs integrity, humor, discovery","Two con artists, Tulio and Miguel, win a map to the legendary city of gold, El Dorado. They travel there, are mistaken for gods by the natives, and go on an adventure full of friendship, treasure, schemes, and humorous mishaps.",0.5,0.8,0.6,0.9,0.5,0.4,0.8,0.5,0.2,0.4,0.2,0.3
Treasure Planet,2002,"exploration, father-son bond, self-discovery, courage, destiny","Jim Hawkins, a rebellious teen, discovers a map to the legendary Treasure Planet and sets off on a space-faring adventure, learning about friendship, trust, and self-discovery.",0.5,0.6,0.7,0.9,0.6,0.4,0.8,0.6,0.4,0.4,0.3,0.4
Aquaman,2018,"identity, legacy, duty, environmental protection, heroism","Arthur Curry, heir to the underwater kingdom of Atlantis, must embrace his destiny, unite the realms, and stop his half-brother from waging war on the surface world.",0.6,0.3,0.7,0.9,0.5,0.3,0.7,0.6,0.4,0.3,0.2,0.4
Rio,2011,"freedom, friendship, love, self-expression, cultural celebration","Blu, a domesticated macaw, travels to Rio de Janeiro to mate with the last female of his species, experiencing friendship, love, adventure, and learning to fly freely.",0.7,0.8,0.7,0.9,0.5,0.4,0.8,0.5,0.3,0.3,0.2,0.3
Rio 2,2014,"family, conservation, personal growth, adventure, unity","Blu and his family journey to the Amazon to find other macaws, facing environmental threats, villains, and family challenges while celebrating love, friendship, and nature.",0.7,0.8,0.8,0.9,0.5,0.4,0.8,0.5,0.3,0.3,0.2,0.3
Legend of the Guardians,2010,"destiny, courage, mentorship, loyalty, good vs evil","Young owlet Soren trains with the Guardians of Ga'Hoole to battle the evil Pure Ones, discovering courage, loyalty, and destiny.",0.5,0.3,0.6,0.8,0.6,0.3,0.7,0.6,0.4,0.3,0.3,0.4
Cars,2006,"humility, friendship, self-discovery, teamwork, growth","Lightning McQueen, a hotshot racecar, ends up in a small town, learns humility, friendship, and the value of community before racing for the championship.",0.6,0.7,0.7,0.7,0.5,0.4,0.7,0.5,0.3,0.3,0.2,0.3
Spirit: Stallion of the Cimarron,2002,"freedom, perseverance, loyalty, courage, resilience","A wild mustang named Spirit fights for freedom, forms bonds with humans, and leads his herd across the untamed American West.",0.6,0.5,0.7,0.8,0.6,0.4,0.7,0.6,0.4,0.3,0.3,0.4
Atlantis: The Lost Empire,2001,"exploration, discovery, loyalty, culture vs exploitation, adventure","Milo Thatch joins an expedition to find the lost city of Atlantis, encountering danger, friendship, romance, and discovering ancient secrets.",0.5,0.6,0.7,0.8,0.6,0.4,0.8,0.6,0.4,0.3,0.3,0.4
Coraline,2009,"curiosity, bravery, identity, family appreciation, alternate reality","Coraline discovers a parallel world where everything seems perfect, but she uncovers dark secrets and must rescue her family while confronting courage and identity.",0.4,0.4,0.6,0.7,0.7,0.4,0.8,0.6,0.5,0.4,0.4,0.5
Robots,2005,"innovation, social inequality, friendship, perseverance, creativity","Rodney Copperbottom, an inventive robot, goes to Robot City to pursue his dreams, combating corporate greed, making friends, and improving society with creativity.",0.5,0.7,0.7,0.8,0.6,0.4,0.8,0.5,0.4,0.4,0.3,0.4
Maid in Manhattan,2002,"love, social class, authenticity, personal ambition, romance","Marlys, a hotel maid, is mistaken for a wealthy socialite by a politician; romance, misunderstandings, and identity struggles unfold as love blooms across social divides.",0.8,0.6,0.7,0.4,0.6,0.5,0.7,0.7,0.3,0.2,0.3,0.2
The Wedding Planner,2001,"love, fate, career vs heart, personal growth, choice","Mary, a successful wedding planner, falls for the groom of one of her clients; balancing career, friendship, and love creates comedic and romantic tension.",0.8,0.6,0.7,0.3,0.5,0.4,0.7,0.6,0.3,0.2,0.3,0.2
The Princess Diaries,2001,"self-discovery, responsibility, transformation, empowerment, identity","Mia discovers she is heir to a European throne; she navigates royal etiquette, friendship, self-confidence, and romance while transforming from awkward teen to princess.",0.7,0.7,0.7,0.4,0.6,0.5,0.7,0.6,0.3,0.2,0.3,0.2
High School Musical: Part 1,2006,"friendship, self-expression, ambition, love, teamwork","Troy and Gabriella meet and audition for the school musical, facing peer pressure, friendship, and budding romance while balancing academics and extracurriculars.",0.7,0.8,0.7,0.6,0.5,0.5,0.8,0.6,0.3,0.2,0.3,0.2
High School Musical: Part 2,2007,"personal growth, romance, friendship, summer adventures, responsibility","The students take summer jobs at a country club, navigating friendships, romance, and social dynamics while preparing for the final musical performance.",0.7,0.8,0.7,0.7,0.5,0.5,0.8,0.6,0.3,0.2,0.3,0.2
High School Musical: Part 3,2008,"transition, dreams, teamwork, romance, identity","The seniors prepare for graduation and a big musical performance, dealing with romance, friendship, and moving on while balancing dreams and school life.",0.7,0.8,0.7,0.7,0.5,0.5,0.8,0.6,0.3,0.2,0.3,0.2
The Hobbit: Part 1 - An Unexpected Journey,2012,"adventure, courage, friendship, discovery, destiny","Bilbo Baggins is recruited by Gandalf and a company of dwarves to reclaim the Lonely Mountain from Smaug, embarking on a perilous journey filled with adventure and self-discovery.",0.5,0.4,0.6,0.9,0.7,0.4,0.8,0.7,0.4,0.3,0.3,0.5
The Hobbit: Part 2 - The Desolation of Smaug,2013,"greed, danger, perseverance, loyalty, heroism","Bilbo and the company continue their journey, encountering trolls, elves, and Smaug the dragon, facing danger, loyalty, and courage.",0.5,0.3,0.6,0.9,0.7,0.3,0.8,0.8,0.4,0.3,0.4,0.6
The Hobbit: Part 3 - The Battle of the Five Armies,2014,"war, sacrifice, honor, unity, resolution","The company confronts the dragon Smaug and warring armies, testing alliances, courage, and sacrifice as the journey reaches its epic conclusion.",0.5,0.3,0.6,0.9,0.7,0.3,0.8,0.9,0.4,0.4,0.5,0.6
Shrek,2001,"acceptance, friendship, love, humor, challenging stereotypes","Shrek, an ogre, embarks on a quest to rescue Princess Fiona for Lord Farquaad, discovering friendship, love, and the value of being oneself.",0.7,0.8,0.7,0.8,0.6,0.4,0.8,0.7,0.5,0.3,0.3,0.4
Shrek 2,2004,"identity, family, acceptance, love, self-discovery","Shrek and Fiona visit her parents’ kingdom, facing misunderstandings, identity struggles, and comedic adventures while strengthening their love and friendship.",0.7,0.8,0.7,0.8,0.6,0.4,0.8,0.6,0.5,0.3,0.3,0.4
Shrek the Third,2007,"responsibility, friendship, self-confidence, legacy, humor","Shrek must find Fiona’s cousin to inherit the throne while dealing with fatherhood, friendship, and comedic challenges in the kingdom.",0.7,0.7,0.7,0.8,0.5,0.4,0.7,0.6,0.4,0.3,0.3,0.4
Shrek Forever After,2010,"gratitude, identity, love, second chances, self-realization","Shrek makes a deal to regain his “ogre fame,” experiencing an alternate reality where he never met Fiona, learning to appreciate love and family.",0.7,0.7,0.7,0.8,0.6,0.4,0.7,0.7,0.4,0.3,0.3,0.4
Bird Box,2018,"survival, fear, trust, parental love, resilience",A mysterious force drives people to suicide; Malorie must protect herself and two children as they navigate a world of unseen terror.,0.4,0.2,0.5,0.6,0.6,0.3,0.6,0.8,0.5,0.7,0.7,0.9
"Everything, Everything",2017,"love, risk-taking, freedom, illness, self-discovery","Maddy, a girl with an immune disorder, falls in love with her neighbor Olly, challenging her isolated life and learning to embrace risk and love.",0.8,0.6,0.7,0.5,0.6,0.5,0.7,0.7,0.6,0.6,0.6,0.5
To All the Boys I’ve Loved Before,2018,"romance, adolescence, honesty, self-expression, growth","Lara Jean’s secret love letters are exposed, sparking romance, self-discovery, and the challenges of teenage love and identity.",0.8,0.7,0.7,0.5,0.6,0.5,0.7,0.7,0.6,0.6,0.5,0.4
To All the Boys: P.S. I Still Love You,2020,"communication, love, trust, personal growth, vulnerability","Lara Jean navigates new romantic challenges, reconciliation, and self-growth while maintaining family and friendships.",0.8,0.7,0.7,0.5,0.6,0.5,0.7,0.7,0.6,0.6,0.5,0.4
To All the Boys: Always and Forever,2021,"commitment, change, adulthood, love, family","Lara Jean faces graduation and the future of her relationship with Peter, balancing love, family, and personal dreams.",0.8,0.7,0.7,0.5,0.6,0.5,0.7,0.7,0.6,0.6,0.5,0.4
Tourist Family,2025,"family, adventure, bonding, humor, adaptation","A Tamil family from Sri Lanka faces economic collapse at home and undertakes a risky journey to India in search of safety and a better future, adapting to a new community while dealing with identity and belonging. ",0.8,0.6,0.8,0.4,0.7,0.6,0.7,0.7,0.6,0.5,0.4,0.5
WALL·E,2008,"love, environmentalism, loneliness, hope, purpose","A lone robot cleans a deserted Earth, discovers love with another robot, and joins a journey that restores hope and life to humanity.",0.7,0.6,0.8,0.7,0.6,0.5,0.7,0.7,0.5,0.4,0.5,0.4
The Fault in Our Stars,2014,"love, mortality, courage, connection, grief","Teenagers Hazel and Gus fall in love while dealing with terminal illness, exploring themes of love, loss, and the fragility of life.",0.8,0.4,0.6,0.4,0.7,0.5,0.6,0.8,0.6,0.5,0.8,0.5
Avatar,2009,"environmentalism, colonization, identity, love, cultural respect","Jake Sully joins the Na’vi on Pandora, fighting to protect their world while exploring love, belonging, and the clash of cultures.",0.7,0.5,0.7,0.9,0.6,0.5,0.8,0.7,0.5,0.4,0.6,0.6
Avatar: The Way of Water,2022,"family, environmentalism, survival, identity, legacy","Jake and Neytiri raise their family while defending Pandora from new threats, exploring love, family bonds, and resilience.",0.8,0.5,0.7,0.9,0.6,0.5,0.8,0.7,0.5,0.4,0.6,0.6
How to Train Your Dragon,2010,"friendship, understanding, courage, acceptance, growth","Hiccup befriends a dragon, challenging his village’s traditions, and discovers friendship, courage, and empathy.",0.6,0.7,0.7,0.8,0.6,0.5,0.8,0.6,0.4,0.3,0.5,0.4
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"courage, faith, adventure, destiny, good vs evil","Four siblings enter Narnia, join Aslan against the White Witch, learning bravery, friendship, and the power of hope.",0.7,0.6,0.8,0.9,0.7,0.5,0.8,0.7,0.5,0.4,0.6,0.5
Percy Jackson & the Olympians: The Lightning Thief,2010,"identity, heroism, friendship, mythology, self-discovery","Percy discovers he is a demigod, goes on a quest to prevent war among gods, learning friendship, courage, and self-discovery.",0.6,0.5,0.7,0.9,0.6,0.5,0.7,0.6,0.4,0.3,0.5,0.5
Percy Jackson: Sea of Monsters,2013,"friendship, adventure, mythology, bravery, self-discovery","Percy and friends search for the Golden Fleece to save Camp Half-Blood, facing monsters, challenges, and moral lessons.",0.6,0.5,0.7,0.9,0.6,0.5,0.7,0.6,0.4,0.3,0.5,0.5
The Divergent Series: Divergent,2014,"identity, rebellion, choice, courage, societal division","Tris lives in a divided society, discovers she is Divergent, challenges norms, and navigates love, friendship, and rebellion.",0.6,0.4,0.6,0.8,0.6,0.5,0.7,0.7,0.5,0.5,0.6,0.6
The Divergent Series: Insurgent,2015,"resistance, loyalty, sacrifice, truth, survival","Tris continues to fight the oppressive system, facing betrayal, identity challenges, and moral dilemmas while deepening bonds with allies.",0.6,0.4,0.6,0.8,0.6,0.5,0.7,0.8,0.5,0.5,0.6,0.6
The Divergent Series: Allegiant,2016,"freedom, morality, discovery, loyalty, rebellion","Tris and friends venture beyond the city walls, uncovering shocking truths and confronting life-or-death challenges while seeking freedom.",0.6,0.3,0.6,0.8,0.6,0.5,0.7,0.8,0.5,0.5,0.6,0.6
Monsters University,2013,"friendship, ambition, perseverance, teamwork, self-confidence","Mike and Sulley train to become scarers at Monsters University, learning teamwork, friendship, and personal growth.",0.6,0.8,0.7,0.8,0.6,0.5,0.8,0.6,0.4,0.3,0.5,0.3
Pitch Perfect: Part 1,2012,"friendship, self-expression, competition, confidence, music","College a cappella group members navigate rivalry, friendship, and romance while preparing for competitions.",0.7,0.8,0.7,0.7,0.5,0.5,0.8,0.6,0.4,0.3,0.3,0.2
Pitch Perfect 2,2015,"teamwork, perseverance, identity, competition, self-growth","The group faces international competition, teamwork challenges, and personal growth while strengthening bonds and pursuing victory.",0.7,0.8,0.7,0.7,0.5,0.5,0.8,0.6,0.4,0.3,0.3,0.2
Pitch Perfect 3,2017,"closure, friendship, self-realization, music, ambition","The group reunites post-college for a final competition, navigating friendship, romance, and reconciliation with past challenges.",0.7,0.8,0.7,0.7,0.5,0.5,0.8,0.6,0.4,0.3,0.3,0.2
"Love, Simon",2018,"identity, love, acceptance, vulnerability, coming-of-age","Simon navigates high school, coming out to friends and family, and experiences romance, self-acceptance, and personal growth.",0.8,0.7,0.7,0.5,0.6,0.5,0.7,0.7,0.6,0.6,0.5,0.4
The Man with the Answers,2022,"mystery, intelligence, problem-solving, morality, discovery","A man discovers a mysterious book that provides answers to life’s questions; he navigates relationships, self-discovery, and moral dilemmas.",0.6,0.5,0.7,0.6,0.6,0.6,0.7,0.6,0.5,0.5,0.5,0.4
Call Me by Your Name,2017,"love, desire, self-discovery, memory, longing","Elio and Oliver share a passionate summer romance in Italy, exploring love, desire, and self-discovery.",0.9,0.6,0.7,0.6,0.8,0.6,0.7,0.8,0.7,0.6,0.7,0.4
The Kissing Booth,2018,"adolescence, romance, friendship, choices, self-expression","Elle navigates high school life, friendship, and forbidden love with her best friend’s brother, exploring teenage romance and loyalty.",0.8,0.7,0.7,0.5,0.6,0.5,0.7,0.6,0.5,0.5,0.5,0.4
The Kissing Booth 2,2020,"love, commitment, growth, friendship, challenges","Elle faces new challenges in relationships and future decisions while balancing love, friendship, and personal growth.",0.8,0.7,0.7,0.5,0.6,0.5,0.7,0.6,0.5,0.5,0.5,0.4
The Kissing Booth 3,2021,"adulthood, responsibility, romance, friendship, self-realization","Elle navigates graduation, college decisions, and final relationship choices, learning about love, friendship, and independence.",0.8,0.7,0.7,0.5,0.6,0.5,0.7,0.6,0.5,0.5,0.5,0.4
Fantastic Beasts and Where to Find Them,2016,"magic, discovery, adventure, friendship, courage","Magizoologist Newt Scamander arrives in New York with magical creatures, uncovering secrets and facing magical threats.",0.5,0.5,0.6,0.8,0.6,0.5,0.8,0.7,0.4,0.4,0.5,0.5
Fantastic Beasts: The Crimes of Grindelwald,2018,"loyalty, morality, betrayal, power, identity","Newt and allies try to stop Grindelwald from gaining power, facing dark magic, moral choices, and secrets from the past.",0.5,0.4,0.6,0.8,0.6,0.5,0.8,0.8,0.5,0.5,0.6,0.6
Fantastic Beasts: The Secrets of Dumbledore,2022,"guidance, destiny, courage, strategy, hope","Dumbledore enlists Newt and friends to thwart Grindelwald’s rise, testing loyalties, courage, and the future of the wizarding world.",0.5,0.4,0.6,0.8,0.6,0.5,0.8,0.8,0.5,0.5,0.6,0.6
Shang-Chi and the Legend of the Ten Rings,2021,"family, identity, destiny, courage, legacy","Shang-Chi confronts his past, embraces his destiny, and fights his father’s criminal empire while discovering family, honor, and self-identity.",0.6,0.5,0.7,0.9,0.6,0.5,0.7,0.8,0.5,0.4,0.6,0.5
Trolls,2016,"friendship, happiness, optimism, creativity, unity","Poppy and Branch embark on a journey to rescue their friends, celebrating happiness, music, friendship, and optimism.",0.7,0.9,0.8,0.8,0.6,0.5,0.8,0.6,0.4,0.3,0.3,0.3
Trolls World Tour,2020,"diversity, collaboration, music, understanding, harmony","Poppy and friends travel to unite different musical tribes, promoting unity, joy, and celebrating differences.",0.7,0.9,0.8,0.8,0.6,0.5,0.8,0.6,0.4,0.3,0.3,0.3
Parasite,2019,"social inequality, greed, deception, survival, morality","A poor family infiltrates a wealthy household, exposing class tension, greed, and societal inequalities, culminating in dramatic consequences.",0.4,0.3,0.5,0.5,0.7,0.4,0.6,0.8,0.6,0.6,0.8,0.6
Doctor Strange: The Sorcerer Supreme,2007,"magic, responsibility, transformation, courage, destiny","Doctor Strange learns the mystic arts after a career-ending accident, confronting magical threats while discovering humility, knowledge, and heroism.",0.5,0.5,0.7,0.9,0.6,0.5,0.8,0.7,0.5,0.4,0.5,0.5
The Pursuit of Happyness,2006,"perseverance, hope, fatherhood, ambition, resilience","Chris Gardner struggles with homelessness while raising his son, persevering to achieve financial stability and fulfill his dreams.",0.8,0.5,0.9,0.6,0.7,0.5,0.7,0.8,0.6,0.5,0.6,0.5
Miracle in Cell No. 7,2013,"love, innocence, justice, family, sacrifice","A mentally challenged man is wrongfully imprisoned; his daughter and fellow inmates show love, compassion, and hope in the face of injustice.",0.9,0.6,0.9,0.5,0.7,0.5,0.7,0.9,0.6,0.5,0.7,0.4
13 Going on 30,2004,"self-discovery, friendship, love, growth, transformation","A teenager magically wakes up as her 30-year-old self and learns what truly matters in love, friendship, and life.",0.8,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.4,0.3,0.4,0.2
A Walk to Remember,2002,"love, faith, sacrifice, growth, loss","A rebellious teen falls in love with a quiet girl who teaches him faith, love, and loss.",0.9,0.4,0.6,0.3,0.8,0.5,0.6,0.9,0.7,0.4,0.9,0.4
Me Before You,2016,"love, sacrifice, life choices, empathy, personal growth","A cheerful woman forms a deep bond with a paralyzed man, challenging ideas of love, autonomy, and happiness.",0.9,0.5,0.5,0.4,0.8,0.5,0.7,0.9,0.7,0.5,0.9,0.4
The Gorge,2025,"survival, adventure, discovery, resilience, self-realization",Two elite operatives guard opposite sides of a mysterious gorge and form a forbidden bond as hidden horrors emerge.,0.6,0.3,0.4,0.8,0.7,0.3,0.7,0.8,0.6,0.6,0.5,0.8
Five Feet Apart,2019,"love, vulnerability, illness, connection, hope",Two teens with cystic fibrosis fall in love but must stay physically apart to survive.,0.9,0.4,0.6,0.3,0.8,0.5,0.6,0.9,0.7,0.4,0.9,0.5
The Fault in Our Stars,2014,"love, mortality, courage, connection, grief",Two teens with cancer fall in love while confronting mortality and meaning.,0.9,0.4,0.6,0.3,0.8,0.5,0.6,0.9,0.7,0.5,0.9,0.5
Paper Towns,2015,"mystery, self-discovery, friendship, adventure, growth","A teen searches for a mysterious girl who disappears, leading him to self-discovery and emotional growth.",0.6,0.5,0.6,0.6,0.7,0.4,0.7,0.7,0.6,0.4,0.6,0.3
Two Weeks Notice,2002,"love, compromise, independence, career, humor","A lawyer resigns from her billionaire boss, forcing both to realize their dependence and love.",0.8,0.7,0.7,0.4,0.5,0.5,0.6,0.6,0.4,0.3,0.4,0.2
While You Were Sleeping,1995,"love, family, kindness, serendipity, personal growth",A woman is mistaken as a man’s fiancée and finds unexpected love and family.,0.9,0.7,0.8,0.4,0.6,0.6,0.6,0.7,0.4,0.3,0.4,0.2
Miss Congeniality,2000,"identity, empowerment, humor, self-confidence, transformation","An FBI agent goes undercover in a beauty pageant and discovers friendship, confidence, and love.",0.7,0.8,0.7,0.7,0.5,0.5,0.7,0.6,0.4,0.4,0.4,0.3
Jumanji: Welcome to the Jungle,2017,"teamwork, adventure, courage, self-discovery, friendship",Teens trapped in a video game must work together to survive and escape.,0.6,0.8,0.7,0.9,0.5,0.4,0.8,0.6,0.3,0.4,0.3,0.5